10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192 Начальное решение
5, 5, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
5, 4, 3; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 5, 5, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 5, 4, 3; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 5, 5, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 5, 4, 3; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 5, 5, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 5, 4, 3; 10, 2;  200
10, 2; 10, 2; 10, 2; 10, 2; 5, 5, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 5, 4, 3;  192
комбинации типов
5, 5, 2; 5, 5, 2; 10, 2; 10, 2; 10, 2;  192
5, 5, 2; 5, 4, 3; 10, 2; 10, 2; 10, 2;  192
5, 4, 3; 5, 5, 2; 10, 2; 10, 2; 10, 2;  192
5, 4, 3; 5, 4, 3; 10, 2; 10, 2; 10, 2;  192
5, 5, 2; 10, 2; 5, 5, 2; 10, 2; 10, 2;  192
5, 5, 2; 10, 2; 5, 4, 3; 10, 2; 10, 2;  192
5, 4, 3; 10, 2; 5, 5, 2; 10, 2; 10, 2;  192
5, 4, 3; 10, 2; 5, 4, 3; 10, 2; 10, 2;  192
5, 5, 2; 10, 2; 10, 2; 5, 5, 2; 10, 2;  192
5, 5, 2; 10, 2; 10, 2; 5, 4, 3; 10, 2;  200
5, 4, 3; 10, 2; 10, 2; 5, 5, 2; 10, 2;  192
5, 4, 3; 10, 2; 10, 2; 5, 4, 3; 10, 2;  200
5, 5, 2; 10, 2; 10, 2; 10, 2; 5, 5, 2;  192
5, 5, 2; 10, 2; 10, 2; 10, 2; 5, 4, 3;  192
5, 4, 3; 10, 2; 10, 2; 10, 2; 5, 5, 2;  192
5, 4, 3; 10, 2; 10, 2; 10, 2; 5, 4, 3;  192
