10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910 Начальное решение
5, 4, 3; 5, 4, 3; 10, 2; 10, 2; 10, 2;  910
5, 5, 2; 10, 2; 5, 5, 2; 10, 2; 10, 2;  910
5, 5, 2; 10, 2; 5, 4, 3; 10, 2; 10, 2;  910
5, 4, 3; 10, 2; 5, 5, 2; 10, 2; 10, 2;  910
5, 4, 3; 10, 2; 5, 4, 3; 10, 2; 10, 2;  910
5, 5, 2; 10, 2; 10, 2; 5, 5, 2; 10, 2;  910
5, 5, 2; 10, 2; 10, 2; 5, 4, 3; 10, 2;  910
5, 4, 3; 10, 2; 10, 2; 5, 5, 2; 10, 2;  910
5, 4, 3; 10, 2; 10, 2; 5, 4, 3; 10, 2;  910
5, 5, 2; 10, 2; 10, 2; 10, 2; 5, 5, 2;  910
5, 5, 2; 10, 2; 10, 2; 10, 2; 5, 4, 3;  910
5, 4, 3; 10, 2; 10, 2; 10, 2; 5, 5, 2;  910
5, 4, 3; 10, 2; 10, 2; 10, 2; 5, 4, 3;  910
10, 2; 5, 5, 2; 5, 5, 2; 10, 2; 10, 2;  910
10, 2; 5, 5, 2; 5, 4, 3; 10, 2; 10, 2;  910
10, 2; 5, 4, 3; 5, 5, 2; 10, 2; 10, 2;  910
10, 2; 5, 4, 3; 5, 4, 3; 10, 2; 10, 2;  910
10, 2; 5, 5, 2; 10, 2; 5, 5, 2; 10, 2;  910
10, 2; 5, 5, 2; 10, 2; 5, 4, 3; 10, 2;  910
10, 2; 5, 4, 3; 10, 2; 5, 5, 2; 10, 2;  910
10, 2; 5, 4, 3; 10, 2; 5, 4, 3; 10, 2;  910
10, 2; 5, 5, 2; 10, 2; 10, 2; 5, 5, 2;  910
10, 2; 5, 5, 2; 10, 2; 10, 2; 5, 4, 3;  910
10, 2; 5, 4, 3; 10, 2; 10, 2; 5, 5, 2;  910
10, 2; 5, 4, 3; 10, 2; 10, 2; 5, 4, 3;  910
10, 2; 10, 2; 5, 5, 2; 5, 5, 2; 10, 2;  910
10, 2; 10, 2; 5, 5, 2; 5, 4, 3; 10, 2;  910
10, 2; 10, 2; 5, 4, 3; 5, 5, 2; 10, 2;  910
10, 2; 10, 2; 5, 4, 3; 5, 4, 3; 10, 2;  910
10, 2; 10, 2; 5, 5, 2; 10, 2; 5, 5, 2;  910
10, 2; 10, 2; 5, 5, 2; 10, 2; 5, 4, 3;  910
10, 2; 10, 2; 5, 4, 3; 10, 2; 5, 5, 2;  910
10, 2; 10, 2; 5, 4, 3; 10, 2; 5, 4, 3;  910
10, 2; 10, 2; 10, 2; 5, 5, 2; 5, 5, 2;  910
10, 2; 10, 2; 10, 2; 5, 5, 2; 5, 4, 3;  910
10, 2; 10, 2; 10, 2; 5, 4, 3; 5, 5, 2;  910
10, 2; 10, 2; 10, 2; 5, 4, 3; 5, 4, 3;  910
окрестность 1 вида
4, 4, 4; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 4, 4, 4; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 4, 4, 4; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 4, 4, 4; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 4, 4, 4;  910
комбинации типов
4, 4, 4; 4, 4, 4; 10, 2; 10, 2; 10, 2;  910
4, 4, 4; 10, 2; 4, 4, 4; 10, 2; 10, 2;  910
4, 4, 4; 10, 2; 10, 2; 4, 4, 4; 10, 2;  910
4, 4, 4; 10, 2; 10, 2; 10, 2; 4, 4, 4;  910
10, 2; 4, 4, 4; 4, 4, 4; 10, 2; 10, 2;  910
10, 2; 4, 4, 4; 10, 2; 4, 4, 4; 10, 2;  910
10, 2; 4, 4, 4; 10, 2; 10, 2; 4, 4, 4;  910
10, 2; 10, 2; 4, 4, 4; 4, 4, 4; 10, 2;  910
10, 2; 10, 2; 4, 4, 4; 10, 2; 4, 4, 4;  910
10, 2; 10, 2; 10, 2; 4, 4, 4; 4, 4, 4;  910
окрестность 1 вида
6, 2, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 6, 2, 2, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 6, 2, 2, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 6, 2, 2, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 6, 2, 2, 2;  910
комбинации типов
6, 2, 2, 2; 6, 2, 2, 2; 10, 2; 10, 2; 10, 2;  910
6, 2, 2, 2; 10, 2; 6, 2, 2, 2; 10, 2; 10, 2;  910
6, 2, 2, 2; 10, 2; 10, 2; 6, 2, 2, 2; 10, 2;  910
6, 2, 2, 2; 10, 2; 10, 2; 10, 2; 6, 2, 2, 2;  910
10, 2; 6, 2, 2, 2; 6, 2, 2, 2; 10, 2; 10, 2;  910
10, 2; 6, 2, 2, 2; 10, 2; 6, 2, 2, 2; 10, 2;  910
10, 2; 6, 2, 2, 2; 10, 2; 10, 2; 6, 2, 2, 2;  910
10, 2; 10, 2; 6, 2, 2, 2; 6, 2, 2, 2; 10, 2;  910
10, 2; 10, 2; 6, 2, 2, 2; 10, 2; 6, 2, 2, 2;  910
10, 2; 10, 2; 10, 2; 6, 2, 2, 2; 6, 2, 2, 2;  910
окрестность 1 вида
5, 3, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 5, 3, 2, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 5, 3, 2, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 5, 3, 2, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 5, 3, 2, 2;  910
комбинации типов
5, 3, 2, 2; 5, 3, 2, 2; 10, 2; 10, 2; 10, 2;  910
5, 3, 2, 2; 10, 2; 5, 3, 2, 2; 10, 2; 10, 2;  910
5, 3, 2, 2; 10, 2; 10, 2; 5, 3, 2, 2; 10, 2;  910
5, 3, 2, 2; 10, 2; 10, 2; 10, 2; 5, 3, 2, 2;  910
10, 2; 5, 3, 2, 2; 5, 3, 2, 2; 10, 2; 10, 2;  910
10, 2; 5, 3, 2, 2; 10, 2; 5, 3, 2, 2; 10, 2;  910
10, 2; 5, 3, 2, 2; 10, 2; 10, 2; 5, 3, 2, 2;  910
10, 2; 10, 2; 5, 3, 2, 2; 5, 3, 2, 2; 10, 2;  910
10, 2; 10, 2; 5, 3, 2, 2; 10, 2; 5, 3, 2, 2;  910
10, 2; 10, 2; 10, 2; 5, 3, 2, 2; 5, 3, 2, 2;  910
окрестность 1 вида
4, 4, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
4, 3, 3, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 4, 4, 2, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 4, 3, 3, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 4, 4, 2, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 4, 3, 3, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 4, 4, 2, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 4, 3, 3, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 4, 4, 2, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 4, 3, 3, 2;  910
комбинации типов
4, 4, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2; 10, 2;  910
4, 4, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2; 10, 2;  910
4, 3, 3, 2; 4, 4, 2, 2; 10, 2; 10, 2; 10, 2;  910
4, 3, 3, 2; 4, 3, 3, 2; 10, 2; 10, 2; 10, 2;  910
